fecha,año,trimestre,mes,nombre_mes,dia,dia_semana,nombre_dia,semana_año,priceOpen,priceHigh,priceLow,priceClose,volume,rendimiento_diario,volatilidad_diaria,rango_cuerpo,direccion,media_movil_7d,media_movil_30d,rendimiento_vs_anterior
2018-08-22,2018,3,8,August,22,2,Wednesday,34,6486.25,6816.79,6310.11,6376.71,4668110000.0,-1.6888,7.8116,109.54,0,6376.71,6376.71,
2018-08-23,2018,3,8,August,23,3,Thursday,34,6371.34,6546.54,6371.34,6534.88,3426180000.0,2.5668,2.7498,163.54,1,6455.795,6455.795,2.4804
2018-08-24,2018,3,8,August,24,4,Friday,34,6551.52,6719.96,6498.64,6719.96,4097820000.0,2.571,3.3781,168.44,1,6543.85,6543.85,2.8322
2018-08-25,2018,3,8,August,25,5,Saturday,34,6719.95,6789.63,6700.96,6763.19,3312600000.0,0.6435,1.3195,43.24,1,6598.685,6598.685,0.6433
2018-08-26,2018,3,8,August,26,6,Sunday,34,6754.64,6774.75,6620.75,6707.26,3295500000.0,-0.7014,2.2799,47.38,0,6620.4,6620.4,-0.827
2018-08-27,2018,3,8,August,27,0,Monday,35,6710.8,6884.64,6689.71,6884.64,4019000000.0,2.5905,2.9047,173.84,1,6664.44,6664.44,2.6446
2018-08-28,2018,3,8,August,28,1,Tuesday,35,6891.08,7109.56,6882.34,7096.28,4659940000.0,2.9778,3.2973,205.2,1,6726.1314,6726.1314,3.0741
2018-08-29,2018,3,8,August,29,2,Wednesday,35,7091.71,7113.3,6970.82,7047.16,4145880000.0,-0.6282,2.0091,44.55,0,6821.91,6766.26,-0.6922
2018-08-30,2018,3,8,August,30,3,Thursday,35,7043.76,7072.69,6834.69,6978.23,4463250000.0,-0.9303,3.3789,65.53,0,6885.2457,6789.8122,-0.9781
2018-08-31,2018,3,8,August,31,4,Friday,35,6973.97,7057.17,6920.16,7037.58,4495650000.0,0.9121,1.9646,63.61,1,6930.62,6814.589,0.8505
2018-09-01,2018,3,9,September,1,5,Saturday,35,7044.81,7242.29,7038.05,7193.25,4116050000.0,2.1071,2.8992,148.44,1,6992.0571,6849.0127,2.212
2018-09-02,2018,3,9,September,2,6,Sunday,35,7189.58,7306.31,7132.16,7272.72,4329540000.0,1.1564,2.4223,83.14,1,7072.8371,6884.3217,1.1048
2018-09-03,2018,3,9,September,3,0,Monday,36,7279.03,7317.94,7208.15,7260.06,4087760000.0,-0.2606,1.5083,18.97,0,7126.4686,6913.2246,-0.1741
2018-09-04,2018,3,9,September,4,1,Tuesday,36,7263.0,7388.26,7255.44,7361.66,4273640000.0,1.3584,1.8287,98.66,1,7164.38,6945.2557,1.3994
2018-09-05,2018,3,9,September,5,2,Wednesday,36,7361.46,7388.43,6792.83,6792.83,5800460000.0,-7.7244,8.0908,568.63,0,7128.0471,6935.094,-7.7269
2018-09-06,2018,3,9,September,6,3,Thursday,36,6755.14,6755.14,6404.72,6529.17,5523470000.0,-3.3452,5.1875,225.97,0,7063.8957,6909.7238,-3.8814
2018-09-07,2018,3,9,September,7,4,Friday,36,6528.92,6555.29,6396.87,6467.07,4264680000.0,-0.9473,2.4264,61.85,0,6982.3943,6883.6853,-0.9511
